Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de São Paulo - SP;3550308;SP;12038175;0,8859 ;B;0,9463 ;B;0,2487 ;A;B
Prefeitura Municipal de Rio de Janeiro - RJ;3304557;RJ;6498837;0,7506 ;B;1,0074 ;C;-2,6860 ;C;C
Prefeitura Municipal de Salvador - BA;2927408;BA;2938092;0,2143 ;A;0,9257 ;B;0,1987 ;A;B
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2609716;0,2208 ;A;0,9470 ;B;0,0885 ;A;B
Prefeitura Municipal de Belo Horizonte - MG;3106200;MG;2513451;0,4070 ;A;0,9352 ;B;0,2425 ;A;B
Prefeitura Municipal de Manaus - AM;1302603;AM;2094391;0,4094 ;A;0,9031 ;B;0,3963 ;A;B
Prefeitura Municipal de Curitiba - PR;4106902;PR;1893997;0,1990 ;A;0,9092 ;B;0,1336 ;A;B
Prefeitura Municipal de Recife - PE;2611606;PE;1625583;0,2762 ;A;0,9376 ;B;13,6549 ;C;C
Prefeitura Municipal de Porto Alegre - RS;4314902;RS;1481019;0,3130 ;A;0,9047 ;B;-1,5214 ;C;C
Prefeitura Municipal de Goiânia - GO;5208707;GO;1448639;0,3335 ;A;0,9365 ;B;0,9594 ;A;B
Prefeitura Municipal de Belém - PA;1501402;PA;1446042;0,3729 ;A;0,9149 ;B;1,6651 ;C;C
Prefeitura Municipal de Guarulhos - SP;3518800;SP;1337087;0,9701 ;B;0,9423 ;B;0,6885 ;A;B
Prefeitura Municipal de Campinas - SP;3509502;SP;1173370;0,3656 ;A;1,0175 ;C;5,7967 ;C;C
Prefeitura Municipal de São Luís - MA;2111300;MA;1082935;0,2711 ;A;0,9316 ;B;1,3643 ;C;C
Prefeitura Municipal de São Gonçalo - RJ;3304904;RJ;1044058;0,2871 ;A;1,0189 ;C;0,4869 ;A;C
Prefeitura Municipal de Maceió - AL;2704302;AL;1021709;0,1374 ;A;1,0084 ;C;1,2423 ;C;C
Prefeitura Municipal de Duque de Caxias - RJ;3301702;RJ;886917;0,1402 ;A;;;3,3283 ;C;
Prefeitura Municipal de Natal - RN;2408102;RN;877662;0,2604 ;A;0,9765 ;C;22,4315 ;C;C
Prefeitura Municipal de Campo Grande - MS;5002704;MS;863982;0,1577 ;A;0,9848 ;C;0,5605 ;A;C
Prefeitura Municipal de Teresina - PI;2211001;PI;847430;0,2140 ;A;0,9273 ;B;0,5859 ;A;B
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;822242;0,6223 ;B;0,9256 ;B;0,3976 ;A;B
Prefeitura Municipal de João Pessoa - PB;2507507;PB;801718;0,2163 ;A;0,9393 ;B;0,1743 ;A;B
Prefeitura Municipal de Nova Iguaçu - RJ;3303500;RJ;797435;0,2781 ;A;1,0073 ;C;2,6770 ;C;C
Prefeitura Municipal de Santo André - SP;3547809;SP;712749;0,6331 ;B;0,9337 ;B;0,6313 ;A;B
Prefeitura Municipal de Osasco - SP;3534401;SP;696382;0,5358 ;A;0,9483 ;B;0,4918 ;A;B
Prefeitura Municipal de São José dos Campos - SP;3549904;SP;695992;0,2127 ;A;0,9688 ;C;0,2756 ;A;C
Prefeitura Municipal de Jaboatão dos Guararapes - PE;2607901;PE;691125;0,1148 ;A;0,9184 ;B;1,6324 ;C;C
Prefeitura Municipal de Ribeirão Preto - SP;3543402;SP;674405;0,2228 ;A;0,9565 ;C;1,5247 ;C;C
Prefeitura Municipal de Uberlândia - MG;3170206;MG;669672;0,1929 ;A;0,9530 ;C;1,8730 ;C;C
Prefeitura Municipal de Contagem - MG;3118601;MG;653800;0,3142 ;A;0,9443 ;B;0,8831 ;A;B
Prefeitura Municipal de Sorocaba - SP;3552205;SP;652481;0,0761 ;A;0,8877 ;A;0,3679 ;A;A
Prefeitura Municipal de Aracaju - SE;2800308;SE;641523;0,1964 ;A;0,9128 ;B;0,7021 ;A;B
Prefeitura Municipal de Feira de Santana - BA;2910800;BA;622639;0,1001 ;A;0,8566 ;A;0,9854 ;A;A
