UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
AC;2020;01;1254445.63;0;0;CIDE/Combustível;CIDE-Combustíveis;
AC;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
AC;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
AC;2020;01;91799604.24;39888135.42;0;FPE;FPE;
AC;2020;01;0;0;0;FPE;FUNDEF;
AC;2020;01;0;0;0;ICMS;FUNDEF;
AC;2020;01;0;0;0;FPM;FUNDEF;
AC;2020;01;0;0;0;IPI-EXP;FUNDEF;
AC;2020;01;0;0;0;COUN;FUNDEF;
AC;2020;01;0;0;0;LC 87;FUNDEF;
AC;2020;01;25996.59;13476.01;0;IPI-EXP;IPI-Exp;
AC;2020;01;2259288.97;981690.75;0;FPM;FUNDEB;
AC;2020;01;3895.41;2019.3;0;IPI-EXP;FUNDEB;
AC;2020;01;0;0;0;COUN;FUNDEB;
AC;2020;01;0;0;0;LC 87;FUNDEB;
AC;2020;01;1667.33;0;0;ITR;FUNDEB;
AC;2020;01;153727.2;194203.11;0;IPVA;FUNDEB;
AC;2020;01;3806.16;6401.47;0;ITCMD;FUNDEB;
AC;2020;01;543704.85;6007491.34;0;ICMS;FUNDEB;
AC;2020;01;13755608.52;5976992.82;0;FPE;FUNDEB;
AC;2020;01;0;1885.96;0;CFM;Royalties;
AL;2020;01;2141474.89;0;0;CIDE/Combustível;CIDE-Combustíveis;
AL;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
AL;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
AL;2020;01;111632719.56;48505884.86;0;FPE;FPE;
AL;2020;01;0;0;0;FPE;FUNDEF;
AL;2020;01;0;0;0;ICMS;FUNDEF;
AL;2020;01;0;0;0;FPM;FUNDEF;
AL;2020;01;0;0;0;IPI-EXP;FUNDEF;
AL;2020;01;0;0;0;COUN;FUNDEF;
AL;2020;01;0;0;0;LC 87;FUNDEF;
AL;2020;01;304508.31;157849.84;0;IPI-EXP;IPI-Exp;
AL;2020;01;4046925.01;1758441.98;0;FPM;FUNDEB;
AL;2020;01;19319.56;10014.76;0;IPI-EXP;FUNDEB;
